Step [0] Epoch [1/80], Discriminator 1.1946, Generator 3.3749
Step [1] Epoch [1/80], Discriminator 0.0260, Generator 9.6319
Step [2] Epoch [1/80], Discriminator 0.0219, Generator 19.7074
Step [3] Epoch [1/80], Discriminator 0.3099, Generator 15.6728
Step [4] Epoch [1/80], Discriminator 0.0276, Generator 10.6463
Step [5] Epoch [1/80], Discriminator 0.0414, Generator 8.9153
Step [6] Epoch [1/80], Discriminator 0.1125, Generator 6.4780
Step [7] Epoch [1/80], Discriminator 0.0193, Generator 9.4516
Step [8] Epoch [1/80], Discriminator 0.0151, Generator 9.9881
Step [9] Epoch [1/80], Discriminator 0.0155, Generator 9.0792
Step [10] Epoch [1/80], Discriminator 0.0061, Generator 10.3592
Step [11] Epoch [1/80], Discriminator 0.0066, Generator 9.9658
Step [12] Epoch [1/80], Discriminator 0.0041, Generator 12.1682
Epoch [1/80], Discriminator 0.1040, Generator 8.9084
Step [0] Epoch [2/80], Discriminator 0.0843, Generator 8.3693
Step [1] Epoch [2/80], Discriminator 0.0135, Generator 11.2674
Step [2] Epoch [2/80], Discriminator 0.0156, Generator 8.5117
Step [3] Epoch [2/80], Discriminator 0.0306, Generator 11.0371
Step [4] Epoch [2/80], Discriminator 0.0669, Generator 7.6053
Step [5] Epoch [2/80], Discriminator 0.0339, Generator 12.2314
Step [6] Epoch [2/80], Discriminator 0.0129, Generator 8.6942
Step [7] Epoch [2/80], Discriminator 0.0029, Generator 10.2719
Step [8] Epoch [2/80], Discriminator 0.0163, Generator 8.6130
Step [9] Epoch [2/80], Discriminator 0.0257, Generator 9.0590
Step [10] Epoch [2/80], Discriminator 0.0320, Generator 9.7200
Step [11] Epoch [2/80], Discriminator 0.0322, Generator 9.8696
Step [12] Epoch [2/80], Discriminator 0.0022, Generator 11.1919
Epoch [2/80], Discriminator 0.0055, Generator 8.7165
Step [0] Epoch [3/80], Discriminator 0.0283, Generator 7.6619
Step [1] Epoch [3/80], Discriminator 0.0073, Generator 7.0147
Step [2] Epoch [3/80], Discriminator 0.0130, Generator 12.5492
Step [3] Epoch [3/80], Discriminator 0.0097, Generator 11.4025
Step [4] Epoch [3/80], Discriminator 0.0142, Generator 11.5120
Step [5] Epoch [3/80], Discriminator 0.0160, Generator 7.7203
Step [6] Epoch [3/80], Discriminator 0.0046, Generator 12.5827
Step [7] Epoch [3/80], Discriminator 0.1978, Generator 14.4061
Step [8] Epoch [3/80], Discriminator 0.0115, Generator 13.8499
Step [9] Epoch [3/80], Discriminator 0.0219, Generator 10.7359
Step [10] Epoch [3/80], Discriminator 0.0388, Generator 8.7836
Step [11] Epoch [3/80], Discriminator 0.0233, Generator 8.2203
Step [12] Epoch [3/80], Discriminator 0.0125, Generator 12.3055
Epoch [3/80], Discriminator 0.0010, Generator 17.4070
Step [0] Epoch [4/80], Discriminator 0.0001, Generator 18.2990
Step [1] Epoch [4/80], Discriminator 0.0174, Generator 8.7599
Step [2] Epoch [4/80], Discriminator 0.0189, Generator 7.4166
Step [3] Epoch [4/80], Discriminator 0.0075, Generator 8.8161
Step [4] Epoch [4/80], Discriminator 0.0065, Generator 9.3403
Step [5] Epoch [4/80], Discriminator 0.0325, Generator 11.5798
Step [6] Epoch [4/80], Discriminator 0.0142, Generator 7.8018
Step [7] Epoch [4/80], Discriminator 0.1485, Generator 12.4966
Step [8] Epoch [4/80], Discriminator 0.0532, Generator 7.1970
Step [9] Epoch [4/80], Discriminator 0.0032, Generator 11.2989
Step [10] Epoch [4/80], Discriminator 0.0341, Generator 8.3221
Step [11] Epoch [4/80], Discriminator 0.0134, Generator 8.9362
Step [12] Epoch [4/80], Discriminator 0.0046, Generator 9.4265
Epoch [4/80], Discriminator 0.0317, Generator 8.3083
Step [0] Epoch [5/80], Discriminator 0.0692, Generator 10.6313
Step [1] Epoch [5/80], Discriminator 0.0146, Generator 10.2616
Step [2] Epoch [5/80], Discriminator 0.1378, Generator 14.7137
Step [3] Epoch [5/80], Discriminator 0.0691, Generator 6.5803
Step [4] Epoch [5/80], Discriminator 0.0157, Generator 9.0006
Step [5] Epoch [5/80], Discriminator 0.0102, Generator 8.8819
Step [6] Epoch [5/80], Discriminator 0.0064, Generator 10.6067
Step [7] Epoch [5/80], Discriminator 0.0448, Generator 9.3502
Step [8] Epoch [5/80], Discriminator 0.0049, Generator 11.0774
Step [9] Epoch [5/80], Discriminator 0.0258, Generator 9.9138
Step [10] Epoch [5/80], Discriminator 0.0171, Generator 9.5746
Step [11] Epoch [5/80], Discriminator 0.0051, Generator 11.9538
Step [12] Epoch [5/80], Discriminator 0.0349, Generator 8.0513
Epoch [5/80], Discriminator 0.0040, Generator 15.7445
Step [0] Epoch [6/80], Discriminator 0.0018, Generator 15.1909
Step [1] Epoch [6/80], Discriminator 0.0047, Generator 8.3115
Step [2] Epoch [6/80], Discriminator 0.0110, Generator 13.4272
Step [3] Epoch [6/80], Discriminator 0.1351, Generator 7.3332
Step [4] Epoch [6/80], Discriminator 0.0564, Generator 9.6202
Step [5] Epoch [6/80], Discriminator 0.0399, Generator 7.4480
Step [6] Epoch [6/80], Discriminator 0.0582, Generator 8.1112
Step [7] Epoch [6/80], Discriminator 0.0323, Generator 7.7055
Step [8] Epoch [6/80], Discriminator 0.0791, Generator 6.5396
Step [9] Epoch [6/80], Discriminator 0.0574, Generator 7.8496
Step [10] Epoch [6/80], Discriminator 0.0542, Generator 8.8931
Step [11] Epoch [6/80], Discriminator 0.0369, Generator 9.0991
Step [12] Epoch [6/80], Discriminator 0.0026, Generator 12.9032
Epoch [6/80], Discriminator 0.0772, Generator 9.7368
Step [0] Epoch [7/80], Discriminator 0.0132, Generator 6.3270
Step [1] Epoch [7/80], Discriminator 0.0043, Generator 13.4925
Step [2] Epoch [7/80], Discriminator 0.0617, Generator 7.9225
Step [3] Epoch [7/80], Discriminator 0.0219, Generator 13.8333
